Token				Valor		

on				
TIPOINT						i				
VARIAVEL				nota				
OPATRIBUICAO			=				
INTEIRO					6				
FIMCOMANDO				.				
IF						if				
ABREP					(				
VARIAVEL				nota				
OPMAIORIGUAL			>:				
INTEIRO					7				
FECHAP					)				
ABREC					{				
ESCREVA					out				
STRING2					PASSAMOTHATY				
FIMCOMANDO				.				
FECHAC					}				
IF						if				
ABREP					(				
VARIAVEL				nota				
OPMENORIGUAL			<:				
INTEIRO					6				
FECHAP					)				
ABREC					{				
ESCREVA					out				
STRING2					Reprovamos				
FIMCOMANDO				.				
FECHAC					}				
ENDFUNCTION				endfunction				
